Review,Rating,Sentiment,Sentiment_Label,Sentiment_Code
Excellent Product 🥳,5.0,1.0,Positive,1
Super camera.,5.0,0.3333333333333333,Positive,1
Awesome phone with amazing features,5.0,0.8,Positive,1
The Much Better,4.6,0.5,Positive,1
Camera cinematic next level🔥🔥,5.0,0.0,Neutral,0
"Just awesome!!
I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.

Camera is best. Battery giving a full day. Speaker sounds wide and clear.

Must buy!!",5.0,0.51328125,Positive,1
"Very attractive
Must buy
Love It❤️❤️",5.0,0.75,Positive,1
Camera is superb.nice phone,5.0,0.0,Neutral,0
"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .",5.0,0.09999999999999998,Positive,1
Absolutely Awesome,5.0,1.0,Positive,1
Great picture quality. Performance is good as always. The important addition is the cinematographic video recording,5.0,0.6333333333333333,Positive,1
An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.,5.0,0.375,Positive,1
Suddenly power off every 2 -3 min and battery percentage changes and Flipkart not replace mobile,1.0,0.0,Neutral,0
"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.",4.6,0.5414965986394558,Positive,1
"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.",5.0,0.4611111111111111,Positive,1
After a losts of efforts when you get then Just Awesome 😊,5.0,1.0,Positive,1
Nice,4.0,0.6,Positive,1
"I switch from x r to 14 great experience
Best display and sound quality and some fabulous changes in camera is also.great",5.0,0.65,Positive,1
"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.
Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images.",5.0,0.5460227272727273,Positive,1
Excellent camera 😍,5.0,1.0,Positive,1
Just wow😍😘,5.0,0.0,Neutral,0
Excellent build quality. Much faster and smoother,5.0,0.6,Positive,1
Decent purchase:),5.0,0.3333333333333333,Positive,1
"My 1st IOS device so far good😊
Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!",4.6,0.48333333333333334,Positive,1
What a phone.,5.0,0.0,Neutral,0
Nice looking phone.,5.0,0.6,Positive,1
Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month Thanks 😊 I'm happy 😁 ❤️,4.0,0.13122895622895625,Positive,1
Nice,5.0,0.6,Positive,1
awesome build quality and features,5.0,1.0,Positive,1
"Purchase on First day sale in BBD23.
Will share full review after use.
I am shifting from Android to IPhone.",5.0,0.3,Positive,1
Excellent camera😊,5.0,1.0,Positive,1
Looking Awesome ✨✨,5.0,1.0,Positive,1
Love IPhone Dream IPhone..💜😍✌️🖤,5.0,0.5,Positive,1
Best phone but same as Iphone 13. There is no difference in 13 and 14.,4.6,0.5,Positive,1
Really an overall great product,5.0,0.4,Positive,1
"Best in the market.
Camera quality awesome
Battery easily goes for a day
Speakers are really good.",5.0,0.7833333333333334,Positive,1
"iphone is great
Canera qulity is best
Battery is powerful
All dizine best
Work all best
All over best",5.0,0.85,Positive,1
sound quality is very good 👍,5.0,0.655,Positive,1
Loved it 👍,5.0,0.7,Positive,1
Best Phone in market.,5.0,1.0,Positive,1
Awesome camera,5.0,1.0,Positive,1
"4 out of 5
Phone was so handy and superb",4.0,0.8,Positive,1
"I've recieved defective product and no one is taking responsibility of it now
Flipkart saying go to apple, apple saying ask Flipkart for replacement.
The wifi is not getting connected and once it gets connected, it keeps getting disconnected after 5 minutes and when I'm playing any live video on the phone it's keeps lagging and hang in the middle. So frustrating.",1.0,-0.08787878787878789,Negative,0
"Review after a week

Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.

Camera 4/5
Pictures in full zoom- 3
Sound quality- 5/5
Display- 4.5/5
Performance- 5",4.6,0.15833333333333335,Positive,1
This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for it,5.0,0.36874999999999997,Positive,1
Very poor delivery service. I didn't exchange the phne and delivery executive charged me extra then what was required to pay and after calling flipkart customer very poor response from them . Not with buying goods for flupkart,1.0,-0.3466666666666667,Negative,0
Very smooth and camera is awesome 😍,5.0,0.76,Positive,1
"Best in class in all the aspects. Top notch performance for display, camera and everything.",5.0,0.75,Positive,1
My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️,5.0,0.4125,Positive,1
"Five stars for the iPhone and
Zero star for Flipkart exchange policy.
My exchange phone was in good condition but still during exchange the price was reduced drastically.I was aware of this exchange scam and decided not to give the old phone.",2.0,0.35000000000000003,Positive,1
awesome phone..i switched from android to ios first time and became a big fan of ios. Performance is excellent and display camera everything is awesome❤️❤️.,5.0,0.5625,Positive,1
Best Performance,5.0,1.0,Positive,1
Value for money product if you get the deal around 65 k .,4.6,0.0,Neutral,0
Nice one,5.0,0.6,Positive,1
Love it,5.0,0.5,Positive,1
I'm happy with the phone and the deal I got from the Flipkart.,5.0,0.8,Positive,1
Best camera phone,5.0,1.0,Positive,1
Amazing Product 😇💯,5.0,0.6000000000000001,Positive,1
Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.,5.0,0.33666666666666667,Positive,1
It looks so pretty 🫣❤️,5.0,0.25,Positive,1
Quality + Performance + Integrity = Apple Inc,5.0,0.0,Neutral,0
Nice Cinematic Video and Portrait photography,5.0,0.3,Positive,1
"No doubt, awesome product, go for it",4.6,1.0,Positive,1
"Simply superb so far
No complaints as of now
Phone was delivered within one day after order",5.0,0.55,Positive,1
Best quality,5.0,1.0,Positive,1
You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.,5.0,0.25,Positive,1
"I simply love it
🥰🥰🥰🥰🥰
Camera quality 🥰
🔋😍😍
Very happy 😊",5.0,0.75,Positive,1
"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.

After receiving this, I have no regression.

Love this.

iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.

The camera is good, sometimes it misses focus.

Performance is the best part of it.",5.0,0.38271604938271603,Positive,1
Over heating normal use,1.0,0.15,Positive,1
Amazing camera❤️❤️❤️,5.0,0.6000000000000001,Positive,1
I just love this phone for the 1st time and the performance is awesome just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .,5.0,0.5166666666666667,Positive,1
"Amazing device
I switch to iPhone 14 from iPhone 8. Great camera and power management full day battery backup. Sound quality and display also awesome. Just go for it if you have enough money",5.0,0.525,Positive,1
"Excellent Smartphone, Amazing Picture quality, Good sound quality",4.6,0.6749999999999999,Positive,1
Awesome deal Tq Flipkart.IPhone 14 was powerfully packed 5G .Battery is good.Cameras next level .finally iPhone 14 is superb.loved It,5.0,0.43333333333333335,Positive,1
Very good phone,5.0,0.9099999999999999,Positive,1
Superb performance,3.0,1.0,Positive,1
"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and longer ios support.New ios 16 is stable.Flipkart service is good.",5.0,0.2857142857142857,Positive,1
Camera and battery Quality us best in this segment,5.0,1.0,Positive,1
iPhone 14 starlight 🤍 beautiful design excellent camera great battery. I think it is better than previous year iPhone 13. Go for it 👌,5.0,0.5966666666666668,Positive,1
I don't know why people never talk about its heat issue.. i was Android user first time using iphone 14.. bro it heat like tawa when charging. And even normal use too. I was planning to buy Google 7 but then I saw so much user saying Google 7 have heat issue so I decided spend some more money go for iphone as lots of people never say any negative for iphone... Trust me I will never buy iPhone again...,1.0,0.16,Positive,1
"I using this mobile for 2 days before I using Samsung m30 so..... This iPhone was very handy
Performance a15 bionic with 6 core processor
We can't find the difference day to day life soo...this is awesome next camera camera is top notch I don't how to tell in words this very good camera same as dslr and videos is soo good quality but action mode is take 2.8k resolution and in dimlight is was sooo bad so while you take with action use gimbal ..... And over all the phone very good 👍",5.0,0.390909090909091,Positive,1
"Very good purchase.i bought it for my wife as a Padwa gift.
but just my views on purchasing this expensive phone- if you are using Iphone very lower version go for it but if you are already in iphone 13 or 11 do not spend money,its not worth.no much change.
but if you have lots of money then go for it.
wife was using iphone 7 hence i purchased this latest one.
now no purchase atleast for 6 years. iphone 7 also used 5 years and believe me it has no issues at all, but the only problem was batte...
READ MORE",4.6,0.25857142857142856,Positive,1
"Great phone with great capabilities 🔥
Excellent camera 📸
Processor same as my 13pro
New blue colour is awesome ❤️
I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date.
The one thing I always said it is what it is🔥🔥",5.0,0.396969696969697,Positive,1
Very nice,5.0,0.78,Positive,1
Good nice trusted i checked everything i was conserned about weather I'll get fooled by delivery and all but it was new i checked everything as people used to say we get refurbished phone no it was good new fresh,5.0,0.42878787878787866,Positive,1
Thanks for Flipkart,4.0,0.2,Positive,1
"Very disgusting, my iphone battery health goes 99% within 22 days of purchasing. Even I'm not played a single game 👎👎👎",1.0,-0.4904761904761905,Negative,0
No issues with product but flipkart services very bad,1.0,-0.9099999999999998,Negative,0
Superb quality,5.0,1.0,Positive,1
"Iphone 14 Awesome 😍😍 . Easy to carry i phone . Light weight. And very effective in daily usage. Battery is effective according to daily usage. Pictures, sound output, is always the best.Camera is always amazing ( cinematic video is wow). Colour is awesome 🙂🙂 overall very good 😊😊",4.0,0.4445238095238095,Positive,1
Superb,5.0,1.0,Positive,1
Do I need to write a review? The name is enough. Apple ❤️😂,4.6,0.0,Neutral,0
I think this is wow what a performance camera too good love it,5.0,0.4333333333333333,Positive,1
"Better than iphone 13. Especially that 13 number is considered unlucky. Moreover, better camera, battery, quality. And finally, color purple is very nice
Namaste🙏",5.0,0.356,Positive,1
"Nice camera.
Amazing night mode.
Battery performance good.
Loving it.",5.0,0.625,Positive,1
I love the product. Love the camera.,5.0,0.5,Positive,1
Amazing picture quality❤️👌🏼👌🏼,5.0,0.6000000000000001,Positive,1
good. Go for it...,5.0,0.7,Positive,1
Worth buying....,5.0,0.3,Positive,1
Astounding,5.0,0.6,Positive,1
Don't buy..... More heating,5.0,0.5,Positive,1
Mic not working,4.6,0.0,Neutral,0
"The iPhone 14 is a solid choice for those looking for a high-quality smartphone experience. The camera is top-notch, the performance is smooth, and the design is sleek and modern. However, there are a few drawbacks to consider when comparing it to Android phones.

One of the biggest cons of the iPhone 14 is its lack of customization options. Apple has a strict policy on what apps and features can be used on their devices, which can be frustrating for users who want more control over their pho...
READ MORE",3.0,0.25,Positive,1
Product is amazing as expected from iphone. Got this recently in a sale with a whopping price of 63k including all discounts. Loving it!!!!,5.0,0.375,Positive,1
Handy. Premium felling,3.0,0.6,Positive,1
Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤,5.0,0.7833333333333333,Positive,1
Nice Phone.,5.0,0.6,Positive,1
Thanks Flipkart service is fine nd it comes in a 2 days.product is genuine nd I love it,4.0,0.37916666666666665,Positive,1
It's a perfect mobile. Comfortable in hands... Size is good. Looks so classy. For me it's the best,5.0,0.6399999999999999,Positive,1
Best one. Have not used a better mobile than this yet. currently one of the best phone in the market.,5.0,0.625,Positive,1
"First iPhone I'm so excited 🙃
It is wonderful, good battery performance for gamer ✌️",5.0,0.58125,Positive,1
"The product is fine, the buying experience was horrible. Better to avoid buying anything from Flipkart.",4.6,-0.027777777777777752,Negative,0
"Unnecessary am taking iPhone 14 totally waste of my money..phone is too much heated while charged like china mobiles any time may blast..even fully charged within 3,4 hours usage charge comes to 🪫",1.0,-0.13333333333333336,Negative,0
"Defective product,green line issue",1.0,0.0,Neutral,0
Good,4.0,0.7,Positive,1
"I was an android user since six years ,
Upgraded to iPhone 14 and it is worth it
Features are next level 👍",5.0,0.15,Positive,1
Best smartphone I can get my hands on till this point of my life.,5.0,1.0,Positive,1
"No two ways , it's a great product, I haven't used iPhone before, this feels real good phone , great battery life , iOS is really better in stability and speed",5.0,0.775,Positive,1
Overall good product,5.0,0.35,Positive,1
Please do not buy anything from Flipkart especially electronics with an exchange. I received iPhone 14 but the old phone was nerve picked up for an exchange and it has been 20 days now without an update.,1.0,0.05,Positive,1
Nice phone but improvement of design,4.0,0.6,Positive,1
"I am very happy with the purchase , i was confused between blue and yellow but yellow is very bright and refreshing color and look different blue is also nice but after putting back cover we can not differentiate if its is iphone 13 or 14 better go for yellow iphone its very bright and attractive lot of people asked me if i bough new iphone or something thankyou flipkart now comes to the performance battery is good display is very smooth looks very premiums n feels very premium. Go for it",4.6,0.3288181818181819,Positive,1
Flipkart sold a cosmetically defective product and never took ownership and replaced it. Terrible customer support and issue resolution from the team. Please never buy high value goods from Flipkart. Don't waste your money. Buy directly from Apple; their customer support is excellent.,1.0,0.011999999999999988,Positive,1
Battery percentage dropped 4%in 2 months,2.0,0.0,Neutral,0
Great performance,5.0,0.8,Positive,1
Best product,4.0,1.0,Positive,1
Battery very low time not supporting Flipkart,1.0,-0.0625,Negative,0
"✓Comfortable, high-end build
✓OLED screen looks fantastic
✓A15 chip performs great
✓Good camera upgrades
✓Dependable battery life",5.0,0.6000000000000001,Positive,1
Highly recommended best price since launch loud speaker is amazing display is another world nothing to say it's overall quite amazing phone dont think ggo for it,5.0,0.41,Positive,1
Battery performance too low,1.0,0.0,Neutral,0
No words,5.0,0.0,Neutral,0
"All rounder phone
Handy phone
Best camera battery performance",4.6,0.8,Positive,1
Nyc phone,5.0,0.0,Neutral,0
Awesome device form apple just go for it and main point is Flipkart delivery facility is best.,5.0,0.7222222222222223,Positive,1
I don't like colour and speed is very slow,1.0,-0.39000000000000007,Negative,0
"Hang issue , feels like used slow iphone",1.0,-0.30000000000000004,Negative,0
🍎Apple 14 i like it,5.0,0.0,Neutral,0
"Powerful A15 Bionic chip
Long-lasting battery life
Improved cameras
New Cinematic mode for video
Sleek and durable design
Sharp and vibrant display
5G connectivity
iOS 16 with new features and customizations
Available in four colors: Midnight, Starlight, Product Red, and Purple",5.0,0.12679924242424243,Positive,1
Best iPhone ever,5.0,1.0,Positive,1
Excellent.,5.0,1.0,Positive,1
Nice performance,5.0,0.6,Positive,1
Perfect as per reputation of the iPhone. Having pride of owning this piece of iPhone- Assembled in India 🇮🇳,4.6,1.0,Positive,1
Great product,5.0,0.8,Positive,1
I was a little sceptical about the red color but it looks premium. Amazing feel and touch. Love it..,5.0,0.22812500000000002,Positive,1
Pic quality is good,5.0,0.7,Positive,1
"Received original and genuine product on 16 febuary
Thanks flipkart",5.0,0.325,Positive,1
"I Phine 14 ☺️
Nice Product 👍 , Good Quality 👍 , i am very Happy 😊",5.0,0.7666666666666666,Positive,1
Premium Product,5.0,0.0,Neutral,0
nice 😍,5.0,0.6,Positive,1
Loved it,5.0,0.7,Positive,1
"The iPhone 14 a gorgeous design, full 5G support, great cameras and strong performance. However, you don't get a 120Hz display or telephoto lens.Greet work flipkart your agent is really supportive.",5.0,0.5566666666666666,Positive,1
Performance of phone is not satisfying. Camera performance is very poor in comparison to other I phone 14. It seems that we have received defective model.,4.6,-0.29833333333333334,Negative,0
Awesome picture quality,5.0,1.0,Positive,1
Excellent phone,5.0,1.0,Positive,1
THE product is genuinely awesome.. and can't stop my etes from looking into the product.. Awesome work by APPLE and good customer support from seller and Flipkart...THANKS FOR THE PRODUCT... GO FOR IT,5.0,0.9,Positive,1
Good....,5.0,0.7,Positive,1
Bad refresh rate at this price point. It looks way too slow after using Android phone above 90 hz display,1.0,-0.3333333333333333,Negative,0
Best camera,5.0,1.0,Positive,1
"As expected, excellent pdt from Apple, stunning look, superb durability and great performance. Thanks to Flipkart for a fantastic offer on this product and timely delivery.",5.0,0.5428571428571429,Positive,1
Osm Mobile it is my 1st experience in iPhone 14 series I m satisfied,5.0,0.5,Positive,1
I am so happy to have first time i phone 14. My experience is outstanding to have this phone.But i wanted to have i phone 18 fortunately i have this now.,4.6,0.48750000000000004,Positive,1
Facing heating issues while playing video and using camera,4.0,0.0,Neutral,0
"Cameras quality is 🤩, all rounder phone",5.0,0.0,Neutral,0
Worst phone,1.0,-1.0,Negative,0
"I switched to 14 from Xr means LCD to OLED DISPLAY😍
And the display was just awesome
Battery is effective according to daily usage
Top notch performance
Best in class mobile 👌🏼",5.0,0.62,Positive,1
Recommended,4.0,0.0,Neutral,0
Looking 🔥..i lv this,5.0,0.0,Neutral,0
Awesome.. packed well and safe delivery.,5.0,0.75,Positive,1
The colour is fantastic ☺️ and performing very well value for money,5.0,0.30000000000000004,Positive,1
Superb camera quality,4.6,1.0,Positive,1
"First ever experiencing Iphone. Being an android user and switching over to Iphone and using it for a day makes me a step away from android.

1.Top Class Performance
2. High defined Camera and Cinematic Video
3. Pocket friendly comparing pro and plus models
4. Have a concern on Battery , though drains on a single day usage - It doesnt means a negative feedback since its 20W Charger charged from 3 to 60 at a time of 10 minutes. I was too surprised- The best class in Apple Series.

Last but n...
READ MORE",5.0,0.20135714285714287,Positive,1
Good overall camera. Good specifications. But according to me S23 performs slightly better in terms of photos and portraits.,5.0,0.475,Positive,1
"Hi, after using this device for 6months these are my experiences.
1.) Light weight device, easy to carry in pocket.
2.) Amazing battery backup.
3.) Apps performance are good.
4.) Sim network coverage is not Upto the mark, even with slight network drop tower goes off. Same SIM card has full network on another device but with this model of iPhone it is not the case.
5.) Always have to switch between flight mode and normal to get the sim network.
6.) Noise cancellation is missing, After paying c...
READ MORE",3.0,0.27666666666666667,Positive,1
Amazing.loved this colour.,5.0,0.0,Neutral,0
The device is heating up on the first day itself,1.0,0.25,Positive,1
Not good as compared to Samsung s23,1.0,-0.35,Negative,0
Camera not batter then galaxy s23,1.0,0.0,Neutral,0
Hang hang hang,1.0,0.0,Neutral,0
"After using for 2 weeks, conclusion :
Battery drain very fast. It took 2 time a day for charging
Camera is not good as I thought
Display 60hz is smooth but not great
Apple system is very classy
If you are middle class family member then don't go for it. Android is far better for uses
Don't overhyped",4.6,0.08,Positive,1
Gifting the iPhone 14 to my wife on her birthday was a fantastic decision. She absolutely loves it! The camera upgrades have brought so much joy to her daily life. She can't stop raving about the picture quality and how it helps her capture our family moments beautifully. The elegant design also resonates with her taste. It's not just a phone; it's become an integral part of her daily routine and her favorite gift ever. Seeing her happy with it makes it a great choice for me.,5.0,0.49000000000000005,Positive,1
Phone is good but battery drains too much,4.0,0.44999999999999996,Positive,1
"I bought iPhone 14 in big billion days. Very happy. Excellent Product delivery
Excellent haptics
Excellent Performance
Excellent Camera
Excellent In hand feel
Excellent Eco System if u have other apple products
❤️ From Ooty

Thank you Flipkart for the big billion days 🎉",5.0,0.6875,Positive,1
Good camera quality,5.0,0.7,Positive,1
"Thank you Flipkart, I am very happy with the phone, thank you very much, it is a very good phone.❤️😍☺️",5.0,0.955,Positive,1
Pic quality is improvised.. lighter weight .. grip is better 😎🤓😎 I enjoyed it !!,4.0,0.640625,Positive,1
Best,5.0,1.0,Positive,1
"I had upgraded from XR to 14.. So it’s amazing❤️
But if you are already using 13 means, either upgrade it to 14 pro or don’t buy this.
Ditto as iPhone 13.",5.0,0.0,Neutral,0
This is not really an upgrade from my iphone 13 but it's okay. I'll suggest if you're having iPhone 12 or 13 then use that only because you won't find any big upgrade if compared to.,4.6,0.1,Positive,1
Build quality is very bad after days speaker is not warm fine,1.0,-0.2644444444444443,Negative,0
"Everything is well and good. But camera performance in artificial light is not upto the mark. Battery mAH is less, however you can handle it smartly.",5.0,0.10952380952380954,Positive,1
Videos from this are just awesome. Performance top notch as expected from apple.,5.0,0.4666666666666666,Positive,1
Super,4.0,0.3333333333333333,Positive,1
Outstanding product,5.0,0.5,Positive,1
Heating issues,1.0,0.0,Neutral,0
"I got with in a day after I ordered,really happy with the product and service",5.0,0.8,Positive,1
"Lovely phone.. camera is very good 👍
Awesome product.....",4.6,0.8033333333333333,Positive,1
Battery health decreased from 100 to 99 after 20 days of normal usage..poor experience,1.0,-0.125,Negative,0
"Battery charge very fastly with my macbook adapter but I'm worried if they don't damage battery health
Overall phone is good.

Camera: Photo: 4/5, Vedio:5/5 Best for vlogging.
Audio: 5/5 Very Loud.
Display: 4.5/5 i did not like Yellowish colourtrue tone.
Battery: 4/5 ok but if they give charger free then I'm so happy or over heat during charging.
Performance: 4.5/5 okay for daily use.",5.0,0.429,Positive,1
Great product at this price range i am very happy to get this product,5.0,0.9,Positive,1
"Amazing phone 😍😍
Nice performance
All are good 👍🏻
Nice look and best camera",5.0,0.7,Positive,1
"After using android for 10 years, and having used 12+256 gb android phone in last 2 years, iPhone 14 lacks in performance in every aspect. Camera- normal. Battery backup- okay, battery charging- pathetic. Those who say iPhone does not hang is a person with slow mind. Most of the apps are buggy. Very slow and loading takes a long time. iPhone offers few gimmicks but not worthy. Do not fall in trap. Most iPhone users know, iPhone is just like a heavy crown made of rusty iron on your head.

Ea...
READ MORE",1.0,-0.004047619047619062,Negative,0
"Heating issue. Phone gets heated on charing. on using camera sometimes on idle.
Waste of 70K. Ten thousand rupees Android phones worked better for me.
Go for it only for showoff",1.0,0.075,Positive,1
Nice product liked it,5.0,0.6,Positive,1
Nothing is bad in this phone i am using it for 1 month but tbh it did not meet my expectations .Looking at the price point i beleave it should not be sold greater than 40k.This is my first Iphone i just hope in the long run i get the value in return.Its a dream for many indians to own a iphone atleast once in a life time i believe now that there are so many offers its not as hard as owning a iphone as it was before.You should always fullfill your dream no matter what is the cost,4.0,0.1564814814814815,Positive,1
Have recently moved over from Android to IOS. Felt very happy about it.,4.0,0.5,Positive,1
"Seems like a ordinary phone I am using. Not getting any feeling to have extra wings added to me like the craze among people to show off.
In overall nothing extra I got in this.",4.6,-0.0625,Negative,0
"Overall good experience (4 months review)

Display : 60hz but impressive,

Camera: if lighting condition is good then it can click very good photos but incase of poor lighting not good experience at such price point.

Battery: It can give 5-6 hr of screentime, it can sustain whole day with single charge.but Battery health reduces 1% in my 4 months of usage which is quite shocking for me.

Charging: Charging speed is quite good with 20w charger but at such price point it could be better.

Conc...
READ MORE",4.0,0.22590476190476186,Positive,1
Iphone14=camera+battery +processor with brand,5.0,0.0,Neutral,0
Superb phone. Design could have been new but good performance . Purple color looks pretty decent. Light shade.,5.0,0.44217171717171705,Positive,1
Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent. Iphone is worst in terms of of battery performance,1.0,-1.0,Negative,0
"Been a week n phn is getting hang , being an iphone, issue is there",1.0,0.0,Neutral,0
ok but not perfect,3.0,0.0,Neutral,0
"More than the product, I love FK for their discounts",5.0,0.5,Positive,1
Apple is always Love❤️❤️ Awsome performance and camera🔥🔥,4.6,0.0,Neutral,0
"Everything was perfect except package.
When we buy something costly least flipkart can provide is give a better packing to safeguard the product. Iphone was in this cardboard cover could have provided bubble wrap or something else for safety",4.0,0.39999999999999997,Positive,1
Battery not good,1.0,-0.35,Negative,0
"It's a nice phone, camera is great, gaming is great. Battery is only 3270 mAh, it should have been around 4500-5000 mAh",5.0,0.55,Positive,1
Not good waste of money,1.0,-0.275,Negative,0
Nothing to say just go for it..🔥,5.0,0.0,Neutral,0
I really totally satisfied with my phone.,4.0,0.5,Positive,1
Nice but expensive,5.0,0.04999999999999999,Positive,1
"Best phone in this price range..

Camera-5/5
Battery-5/5 easily full day backup
Performance-5/5
Display-5/5
OS-5/5
Everything abt this phone is perfect!!",5.0,0.7833333333333333,Positive,1
"Apple is awesome.
I like all aspects of this phone from design, camera, os and battery. I am loving it.",5.0,0.8,Positive,1
"Powerful processor
Great display
Great camera
Less battery",4.6,0.43333333333333335,Positive,1
"Performance - Amazing.
UI exp- amazing...its simple. But sometime annoy.
Battery- around 9hr normal usage(camera use). Pubg game - 6hr apprx.
Display- its good but I do not like to watch movies or tv series in 6.1 size screen. Better go for plus model.
This size is handy.
Gaming - sometime get sticky (due to heating) while playing pubg (HD quality). But overall run smooth. Do not forget to enable gaming mode and and guided acces.

I find this phone suitable for daily purpose. It take less ti...
READ MORE",5.0,0.2363095238095238,Positive,1
In love with the camera🤌🏻,5.0,0.5,Positive,1
The smoothness of the phone is excellent. Battery is okayish if you switch from android. Camera is one the best.,5.0,1.0,Positive,1
Giving screen frozen(not responding)and heating problem within a month,2.0,0.0,Neutral,0
🤷 what are u expecting me to say? You already know Iphone is Iphone,5.0,0.0,Neutral,0
